areaAsM2,minRange,maxRange,avEchoStrength,minEchoStrength,maxEchoStrength,cluster
0,14334.8584,14334.8584,2,1,3,2
0,20425.63477,20425.63477,1,1,3,0
0,13658.10547,13658.10547,6,2,14,2
0,15073.13477,15073.13477,1,1,1,0
0,15811.41113,15811.41113,1,1,1,0
0,3383.764893,3383.764893,5,5,5,2
0,18518.42188,18518.42188,3,3,4,0
0,21286.95703,21286.95703,1,1,1,0
0,16057.50293,16057.50293,1,1,1,0
0,3383.764893,3383.764893,6,6,6,2
0,14027.24414,14027.24414,4,1,7,2
0,11381.75488,11381.75488,1,1,1,2
0,20179.54297,20179.54297,1,1,1,0
0,22640.46289,22640.46289,2,2,3,0
0,59677.30859,59677.30859,1,1,1,1
0,19195.17578,19195.17578,3,3,3,0
0,3199.196045,3199.196045,3,2,7,2
0,15749.8877,15749.8877,4,2,6,0
0,15872.93359,15872.93359,7,2,13,0
0,16057.50293,16057.50293,1,1,1,0
0,16365.11816,16365.11816,1,1,1,0
0,16488.16406,16488.16406,3,1,7,0
0,19318.2207,19318.2207,1,1,1,0
0,23132.64844,23132.64844,3,1,5,0
0,29223.42383,29223.42383,1,1,1,0
0,6706.006836,6706.006836,1,1,1,2
0,20364.11328,20364.11328,2,2,2,0
0,3199.196045,3199.196045,2,1,10,2
0,10151.29492,10151.29492,1,1,1,2
0,23255.69336,23255.69336,3,3,3,0
0,23747.87695,23747.87695,1,1,1,0
0,23870.92383,23870.92383,4,2,6,0
0,47741.84766,47741.84766,1,1,1,1
0,62630.41406,62630.41406,1,1,2,1
0,18579.94531,18579.94531,2,2,2,0
0,24055.49219,24055.49219,2,2,2,0
0,6521.437988,6521.437988,1,1,3,2
0,57462.48047,57462.48047,1,1,1,1
0,62015.18359,62015.18359,1,1,1,1
0,21163.91211,21163.91211,6,1,12,0
0,44050.46875,44050.46875,1,1,1,1
0,57831.61719,57831.61719,1,1,1,1
0,17595.57813,17595.57813,1,1,3,0
0,6152.299805,6152.299805,1,1,1,2
0,16180.54883,16180.54883,1,1,1,0
0,60661.67578,60661.67578,1,1,1,1
0,11689.37012,11689.37012,1,1,1,2
0,11873.93848,11873.93848,1,1,1,2
0,15503.7959,15503.7959,4,1,8,0
0,19318.2207,19318.2207,2,2,2,0
0,50079.72266,50079.72266,1,1,2,1
0,3014.626953,3014.626953,2,2,2,2
0,6582.960938,6582.960938,3,2,4,2
0,20056.49805,20056.49805,1,1,1,0
0,22948.07813,22948.07813,1,1,1,0
0,22209.80273,22209.80273,1,1,1,0
0,15565.31836,15565.31836,3,2,5,0
0,18764.51367,18764.51367,1,1,1,0
0,3076.149902,3076.149902,3,1,8,2
0,6152.299805,6152.299805,1,1,1,2
0,12981.35254,12981.35254,1,1,1,2
0,15380.75,15380.75,1,1,1,0
0,17718.62305,17718.62305,3,1,6,0
0,31438.25195,31438.25195,1,1,1,0
0,33345.46484,33345.46484,1,1,1,0
0,61153.85938,61153.85938,1,1,1,1
0,2953.104004,2953.104004,2,1,3,2
0,4368.132813,4368.132813,2,2,2,2
0,16857.30078,16857.30078,2,1,3,0
0,14519.42773,14519.42773,2,1,4,2
0,20364.11328,20364.11328,2,2,2,0
0,62015.18359,62015.18359,1,1,1,1
0,3322.241943,3322.241943,2,1,3,2
0,53894.14844,53894.14844,1,1,1,1
0,2399.396973,2399.396973,5,5,5,2
0,2953.104004,2953.104004,2,1,4,2
0,3076.149902,3076.149902,6,4,8,2
0,3445.287842,3445.287842,4,2,7,2
0,7198.190918,7198.190918,1,1,1,2
0,16365.11816,16365.11816,3,3,3,0
0,16488.16406,16488.16406,3,2,6,0
0,16734.25586,16734.25586,4,1,10,0
0,20979.3418,20979.3418,1,1,1,0
0,27439.25781,27439.25781,1,1,1,0
0,6029.253906,6029.253906,3,1,6,2
0,10520.43262,10520.43262,1,1,1,2
0,58446.84766,58446.84766,1,1,1,1
0,60538.62891,60538.62891,1,1,1,1
0,10766.52441,10766.52441,1,1,1,2
0,14888.56543,14888.56543,2,2,2,2
0,15257.7041,15257.7041,2,1,4,0
0,20487.1582,20487.1582,1,1,1,0
0,15196.18066,15196.18066,2,2,2,0
0,52663.6875,52663.6875,1,1,1,1
0,4552.702148,4552.702148,5,1,9,2
0,10458.91016,10458.91016,1,1,2,2
0,23563.30859,23563.30859,1,1,1,0
0,56108.97656,56108.97656,1,1,1,1
0,2645.489014,2645.489014,1,1,1,2
0,20548.68164,20548.68164,1,1,1,0
0,20733.25,20733.25,1,1,2,0
0,51679.32031,51679.32031,1,1,1,1
0,676.7529907,676.7529907,1,1,2,2
0,18149.28516,18149.28516,3,3,3,0
0,50325.8125,50325.8125,2,1,3,1
0,2522.442871,2522.442871,3,2,4,2
0,18026.23828,18026.23828,2,2,2,0
0,51679.32031,51679.32031,1,1,1,1
0,51863.88672,51863.88672,1,1,1,1
0,11012.61719,11012.61719,1,1,1,2
0,49095.35156,49095.35156,1,1,1,1
0,62015.18359,62015.18359,1,1,1,1
0,2953.104004,2953.104004,1,1,1,2
0,53648.05469,53648.05469,1,1,1,1
0,4737.270996,4737.270996,3,2,5,2
0,17964.71484,17964.71484,6,1,15,0
0,49710.58203,49710.58203,1,1,3,1
0,2091.781982,2091.781982,2,1,5,2
0,10335.86426,10335.86426,1,1,4,2
0,1045.890991,1045.890991,1,1,1,2
0,1722.643921,1722.643921,3,2,4,2
0,3383.764893,3383.764893,2,2,2,2
0,1968.735962,1968.735962,1,1,1,2
